gisjoin_1800,centroid_x,centroid_y,decade
G0900010,-73.389023,41.273098,1800
G0900030,-72.736771,41.812824,1800
G0900050,-73.243324,41.779293,1800
G0900070,-72.536087,41.464191,1800
G0900090,-72.910538,41.406261,1800
G0900110,-72.110764,41.471821,1800
G0900130,-72.350731,41.872318,1800
G0900150,-72.030586,41.79047,1800
G1000010,-75.570091,39.082642,1800
G1000030,-75.649185,39.570881,1800
G1000050,-75.398026,38.661518,1800
G1100015,-77.041695,38.895695,1800
G1300290,-81.417458,31.997692,1800
G1300310,-81.786949,32.431339,1800
G1300330,-81.994949,33.03167,1800
G1300390,-81.732773,30.932747,1800
G1300510,-81.140846,32.031372,1800
G1300730,-82.333435,33.531147,1800
G1301030,-81.341339,32.367359,1800
G1301050,-82.914848,34.150414,1800
G1301190,-83.236069,34.38578,1800
G1301270,-81.619301,31.29356,1800
G1301330,-83.157387,33.584869,1800
G1301410,-83.014549,33.262932,1800
G1301535,-86.374779,33.203671,1800
G1301570,-83.535034,34.021507,1800
G1301630,-82.420166,33.0644,1800
G1301790,-81.681488,31.913773,1800
G1301810,-82.452888,33.794395,1800
G1301910,-81.508682,31.564247,1800
G1302090,-82.367538,32.3885,1800
G1302210,-83.08931,33.889736,1800
G1302450,-82.073563,33.359638,1800
G1302510,-81.630371,32.753704,1800
G1303010,-82.64016,33.376926,1800
G1303030,-82.810349,32.936848,1800
G1303170,-82.759758,33.751274,1800
G1850115,-87.312233,39.726135,1800
G1850135,-89.359413,37.759056,1800
G1850155,-89.867691,39.252121,1800
G1850315,-89.540131,44.649891,1800
G2100090,-85.847099,36.937744,1800
G2100150,-84.728516,38.955265,1800
G2100170,-84.206894,38.210419,1800
G2100230,-84.092262,38.677498,1800
G2100270,-86.479027,37.821915,1800
G2100290,-85.661514,37.969074,1800
G2100370,-84.45813,38.939091,1800
G2100470,-87.504448,36.873756,1800
G2100490,-84.069687,37.890102,1800
G2100570,-85.189156,36.767212,1800
G2100670,-84.458694,38.042259,1800
G2100690,-83.60479,38.31765,1800
G2100710,-82.853127,37.627144,1800
G2100730,-84.882072,38.22628,1800
G2100770,-85.039185,38.660007,1800
G2100790,-84.552101,37.661419,1800
G2100870,-85.303993,37.166714,1800
G2100930,-86.008148,37.584042,1800
G2100970,-84.337112,38.44228,1800
G2101010,-87.678482,37.555038,1800
G2101030,-85.196358,38.47139,1800
G2101110,-85.634598,38.218994,1800
G2101130,-84.58091,37.872017,1800
G2101210,-83.812035,36.878941,1800
G2101370,-84.696419,37.393211,1800
G2101390,-88.483742,36.923454,1800
G2101410,-86.827339,36.909176,1800
G2101510,-83.723099,37.353287,1800
G2101610,-83.158424,38.418076,1800
G2101670,-84.877495,37.750416,1800
G2101730,-83.705772,37.929173,1800
G2101770,-87.163048,37.264484,1800
G2101790,-85.451225,37.826569,1800
G2101810,-84.014763,38.399902,1800
G2101830,-86.882805,37.547752,1800
G2101910,-84.501373,38.665924,1800
G2101990,-84.570793,36.964325,1800
G2102090,-84.601555,38.317635,1800
G2102110,-85.201355,38.189663,1800
G2102270,-86.340492,36.932854,1800
G2102290,-85.209999,37.674316,1800
G2102390,-84.743477,38.042336,1800
G2400010,-79.046082,39.56538,1800
G2400030,-76.73098,39.098297,1800
G2400050,-76.71582,39.463726,1800
G2400090,-76.56797,38.552811,1800
G2400110,-75.83139,38.87355,1800
G2400150,-75.941643,39.575218,1800
G2400170,-76.990082,38.50708,1800
G2400190,-76.008095,38.481598,1800
G2400210,-77.316223,39.510513,1800
G2400250,-76.318512,39.562317,1800
G2400290,-76.03524,39.258801,1800
G2400310,-77.204506,39.136597,1800
G2400330,-76.844734,38.832478,1800
G2400350,-76.01355,39.070984,1800
G2400370,-76.608246,38.303185,1800
G2400390,-75.74054,38.223598,1800
G2400410,-76.088425,38.775932,1800
G2400430,-77.814171,39.603676,1800
G2400470,-75.38472,38.257236,1800
G2405100,-76.609299,39.29409,1800
G2500010,-70.297615,41.726212,1800
G2500030,-73.202164,42.376606,1800
G2500050,-71.122391,41.804882,1800
G2500055,-70.42791,44.631248,1800
G2500070,-70.658211,41.395393,1800
G2500090,-70.956543,42.672718,1800
G2500150,-72.61747,42.36393,1800
G2500153,-68.664658,45.815014,1800
G2500155,-69.728973,45.58794,1800
G2500157,-69.583443,44.081329,1800
G2500170,-71.390129,42.482079,1800
G2500190,-70.074158,41.278374,1800
G2500210,-71.201538,42.170818,1800
G2500230,-70.809662,41.940151,1800
G2500250,-70.878662,42.212982,1800
G2500255,-67.7239,45.457069,1800
G2500270,-71.9021,42.350388,1800
G2500275,-70.811562,44.169888,1800
G2850015,-91.120842,31.303493,1800
G2850097,-87.875061,31.718983,1800
G2850155,-90.960251,31.963024,1800
G2850195,-88.19809,31.271671,1800
G3300050,-72.238159,43.111721,1800
G3300090,-71.533051,44.295601,1800
G3300110,-71.762276,43.061176,1800
G3300150,-71.254967,43.070282,1800
G3300170,-71.228653,43.580669,1800
G3400030,-74.168655,40.974411,1800
G3400050,-74.649071,39.878365,1800
G3400090,-74.803574,39.140392,1800
G3400110,-75.100723,39.369633,1800
G3400130,-74.264587,40.746567,1800
G3400150,-74.866669,39.614273,1800
G3400190,-74.887314,40.519066,1800
G3400230,-74.443878,40.40789,1800
G3400250,-74.260315,40.07885,1800
G3400270,-74.544449,40.862041,1800
G3400330,-75.348961,39.587269,1800
G3400350,-74.617744,40.55555,1800
G3400370,-74.813728,41.025852,1800
G3600010,-73.997612,42.661861,1800
G3600110,-76.653175,42.817135,1800
G3600170,-75.631851,42.673462,1800
G3600190,-73.83963,44.407764,1800
G3600210,-73.631851,42.250084,1800
G3600250,-74.968765,42.196461,1800
G3600270,-73.744377,41.687675,1800
G3600390,-74.126465,42.278873,1800
G3600430,-75.020966,43.901524,1800
G3600470,-73.949562,40.645069,1800
G3600570,-74.548607,43.849834,1800
G3600610,-73.967575,40.777077,1800
G3600650,-75.654594,43.772877,1800
G3600670,-76.180061,42.892986,1800
G3600690,-78.308846,42.700134,1800
G3600710,-74.305527,41.402122,1800
G3600770,-75.028984,42.633717,1800
G3600810,-73.653023,40.730713,1800
G3600830,-73.510048,42.710178,1800
G3600850,-74.152618,40.580921,1800
G3600870,-74.035675,41.153473,1800
G3600910,-73.863876,43.10741,1800
G3600950,-74.444908,42.592445,1800
G3601010,-77.512146,42.292572,1800
G3601030,-72.856506,40.87764,1800
G3601070,-76.266251,42.184071,1800
G3601110,-74.493042,41.809387,1800
G3601150,-73.648499,43.44289,1800
G3601190,-73.758133,41.137894,1800
G3700070,-80.20723,34.983189,1800
G3700090,-81.502411,36.382332,1800
G3700130,-76.848564,35.332153,1800
G3700150,-76.97921,36.066277,1800
G3700170,-78.617867,34.530197,1800
G3700190,-78.370804,34.11657,1800
G3700210,-82.698868,35.612122,1800
G3700230,-81.840569,35.831783,1800
G3700250,-80.551857,35.386829,1800
G3700290,-76.209877,36.389954,1800
G3700310,-76.684654,34.816048,1800
G3700330,-79.333672,36.39336,1800
G3700370,-79.254318,35.699867,1800
G3700410,-76.608025,36.150547,1800
G3700490,-77.022362,35.129276,1800
G3700510,-78.926903,35.189747,1800
G3700530,-75.911415,36.23415,1800
G3700610,-77.94043,34.928291,1800
G3700650,-77.652191,35.868027,1800
G3700690,-78.270683,36.08728,1800
G3700730,-76.700462,36.445061,1800
G3700770,-78.596344,36.307407,1800
G3700790,-77.676094,35.493443,1800
G3700810,-79.789001,36.079388,1800
G3700830,-77.651894,36.257473,1800
G3700910,-76.982323,36.359215,1800
G3700950,-76.300896,35.549854,1800
G3700955,-83.53302,35.233227,1800
G3700970,-80.924133,35.834305,1800
G3701010,-78.351097,35.524746,1800
G3701030,-77.356766,35.023308,1800
G3701070,-77.68396,35.211304,1800
G3701090,-81.239632,35.462299,1800
G3701170,-77.105965,35.842331,1800
G3701190,-80.756958,35.143272,1800
G3701230,-80.059502,35.323299,1800
G3701250,-79.428238,35.343094,1800
G3701270,-77.995224,35.931934,1800
G3701290,-77.926888,34.480465,1800
G3701310,-77.396751,36.417656,1800
G3701330,-77.433952,34.737316,1800
G3701350,-79.18219,36.063828,1800
G3701390,-76.286438,36.297527,1800
G3701430,-76.442017,36.206909,1800
G3701450,-78.97171,36.39011,1800
G3701470,-77.368004,35.594086,1800
G3701510,-79.806053,35.710274,1800
G3701530,-79.640923,34.939953,1800
G3701550,-79.120392,34.676105,1800
G3701570,-79.775131,36.396095,1800
G3701590,-80.396538,35.764954,1800
G3701610,-81.910919,35.367367,1800
G3701630,-78.383759,35.021915,1800
G3701690,-80.242447,36.282974,1800
G3701710,-80.677254,36.313564,1800
G3701770,-76.121391,35.81459,1800
G3701830,-78.664154,35.806725,1800
G3701850,-78.142242,36.394951,1800
G3701870,-76.622955,35.831451,1800
G3701910,-77.999107,35.391407,1800
G3701930,-81.23288,36.180309,1800
G3850015,-83.170143,38.836891,1800
G3850035,-84.35453,39.603336,1800
G3850055,-80.912766,40.461567,1800
G3850115,-83.089905,39.764553,1800
G3850175,-81.491486,41.338524,1800
G3850195,-81.858307,39.782085,1800
G3850225,-83.770081,42.844009,1800
G4200010,-77.217926,39.871506,1800
G4200030,-79.981209,40.468834,1800
G4200050,-79.444855,40.912167,1800
G4200070,-80.346794,40.754845,1800
G4200090,-78.382439,40.008621,1800
G4200110,-76.068947,40.514179,1800
G4200170,-75.108459,40.338207,1800
G4200190,-79.913002,40.911716,1800
G4200290,-75.748398,39.97319,1800
G4200390,-80.108948,41.685608,1800
G4200410,-77.263657,40.281769,1800
G4200430,-76.662666,40.401505,1800
G4200450,-75.401321,39.918728,1800
G4200490,-80.03215,41.991653,1800
G4200510,-79.6474,39.919823,1800
G4200550,-77.721214,39.927452,1800
G4200590,-80.222885,39.853794,1800
G4200610,-78.240234,40.582481,1800
G4200710,-76.251968,40.049095,1800
G4200790,-76.055298,41.610706,1800
G4200810,-77.940544,41.479252,1800
G4200850,-80.271614,41.253555,1800
G4200870,-77.691261,40.83382,1800
G4200910,-75.367264,40.210789,1800
G4200950,-75.538017,40.821507,1800
G4200970,-76.696739,40.935936,1800
G4201010,-75.134415,40.010479,1800
G4201110,-78.960197,40.095413,1800
G4201210,-79.609512,41.398964,1800
G4201230,-79.281425,41.812599,1800
G4201250,-80.248238,40.189396,1800
G4201270,-75.202522,41.457077,1800
G4201290,-79.340103,40.410534,1800
G4201330,-76.726517,39.919922,1800
G4400010,-71.283707,41.71579,1800
G4400030,-71.594154,41.671989,1800
G4400050,-71.255264,41.536236,1800
G4400070,-71.591759,41.874588,1800
G4400090,-71.623848,41.478672,1800
G4500010,-82.375618,34.167976,1800
G4500110,-81.396034,33.2565,1800
G4500130,-80.984444,32.53854,1800
G4500190,-79.947487,33.086636,1800
G4500230,-81.159531,34.692059,1800
G4500250,-80.158699,34.63974,1800
G4500290,-80.547401,32.924068,1800
G4500310,-79.941635,34.273895,1800
G4500370,-81.910049,33.844978,1800
G4500390,-81.110466,34.385326,1800
G4500430,-79.349815,33.700783,1800
G4500450,-82.370781,34.894348,1800
G4500550,-80.578514,34.345238,1800
G4500570,-80.711037,34.701023,1800
G4500590,-82.005936,34.483612,1800
G4500670,-79.430244,34.17458,1800
G4500690,-79.678627,34.601986,1800
G4500710,-81.611328,34.295128,1800
G4500750,-81.059067,33.67799,1800
G4500755,-82.790955,34.689484,1800
G4500790,-80.857788,33.991489,1800
G4500830,-81.935776,34.95919,1800
G4500850,-80.279762,33.85228,1800
G4500870,-81.609573,34.736866,1800
G4500875,-83.189651,34.866035,1800
G4500910,-81.218231,34.990139,1800
G4700090,-83.952522,35.724545,1800
G4700190,-82.022896,36.354858,1800
G4700370,-86.789459,36.113331,1800
G4700570,-83.688118,36.362843,1800
G4700590,-82.851768,36.177681,1800
G4700730,-83.034531,36.462299,1800
G4700855,-87.089104,35.649635,1800
G4700890,-83.257187,36.009247,1800
G4700930,-84.076149,36.006027,1800
G4701250,-87.541245,36.497723,1800
G4701470,-87.10939,36.35907,1800
G4701550,-83.515144,35.810291,1800
G4701590,-85.612801,36.400978,1800
G4701630,-82.309608,36.51289,1800
G4701650,-86.405075,36.47094,1800
G4701790,-82.496765,36.225163,1800
G4701870,-86.861977,35.912193,1800
G4701890,-86.188629,36.021202,1800
G5000010,-73.117592,44.051086,1800
G5000030,-73.092857,43.035683,1800
G5000050,-72.18914,44.425934,1800
G5000070,-72.983589,44.435856,1800
G5000090,-71.758789,44.728504,1800
G5000110,-72.918709,44.823612,1800
G5000170,-72.421738,44.031776,1800
G5000190,-72.317467,44.778835,1800
G5000210,-73.046707,43.597752,1800
G5000250,-72.713821,42.990631,1800
G5000270,-72.579536,43.574619,1800
G5100010,-75.646072,37.765327,1800
G5100030,-78.55555,38.023094,1800
G5100070,-77.976059,37.335957,1800
G5100090,-79.01638,37.695782,1800
G5100150,-79.128883,38.162937,1800
G5100170,-79.819992,38.149277,1800
G5100190,-79.520157,37.316792,1800
G5100195,-78.018951,39.438778,1800
G5100230,-79.976501,37.55928,1800
G5100237,-80.575211,40.394882,1800
G5100250,-77.859016,36.764786,1800
G5100290,-78.581596,37.54533,1800
G5100310,-79.066895,37.239574,1800
G5100330,-77.347542,38.027195,1800
G5100360,-77.064468,37.358185,1800
G5100370,-78.666962,37.025578,1800
G5100410,-77.578415,37.386772,1800
G5100470,-78.03968,38.567776,1800
G5100490,-78.244987,37.512039,1800
G5100530,-77.629654,37.07737,1800
G5100550,-76.367546,37.052673,1800
G5100570,-76.951767,37.942715,1800
G5100590,-77.274719,38.83839,1800
G5100610,-77.809433,38.73859,1800
G5100650,-78.277451,37.84185,1800
G5100670,-79.878891,36.994408,1800
G5100690,-78.177521,39.144516,1800
G5100730,-76.542282,37.423489,1800
G5100750,-77.916405,37.721962,1800
G5100770,-80.99472,36.704235,1800
G5100775,-80.587189,38.020004,1800
G5100810,-77.560844,36.675793,1800
G5100830,-78.936638,36.766968,1800
G5100833,-78.701759,39.364143,1800
G5100850,-77.490883,37.760124,1800
G5100853,-79.010017,39.051525,1800
G5100857,-80.588142,39.061203,1800
G5100870,-77.296799,37.45792,1800
G5100890,-79.85498,36.678883,1800
G5100930,-76.726837,36.890808,1800
G5100950,-76.776985,37.322697,1800
G5100957,-81.709244,38.346684,1800
G5100970,-76.898079,37.723122,1800
G5100990,-77.157555,38.272861,1800
G5101010,-77.089478,37.70726,1800
G5101030,-76.463852,37.736359,1800
G5101050,-83.030067,36.726204,1800
G5101070,-77.635727,39.090717,1800
G5101090,-77.962997,37.978226,1800
G5101110,-78.240562,36.946209,1800
G5101130,-78.279198,38.413715,1800
G5101150,-76.343948,37.436161,1800
G5101170,-78.362762,36.680355,1800
G5101190,-76.575432,37.633526,1800
G5101193,-79.87986,39.526215,1800
G5101197,-80.630997,37.57745,1800
G5101210,-81.197586,37.836433,1800
G5101230,-76.641563,36.692791,1800
G5101270,-77.001503,37.50536,1800
G5101290,-76.304192,36.710243,1800
G5101310,-75.902443,37.353577,1800
G5101330,-76.422707,37.887051,1800
G5101350,-78.051231,37.143066,1800
G5101355,-80.719414,39.610428,1800
G5101370,-78.155746,38.262402,1800
G5101410,-80.309875,36.675438,1800
G5101415,-79.43956,38.615105,1800
G5101430,-79.397614,36.811115,1800
G5101450,-77.916267,37.551476,1800
G5101470,-78.471016,37.236534,1800
G5101490,-77.234627,37.190487,1800
G5101510,-76.065628,36.75478,1800
G5101530,-77.481918,38.705448,1800
G5101557,-79.991104,38.81105,1800
G5101590,-76.769585,38.03487,1800
G5101630,-79.445732,37.81591,1800
G5101650,-78.851479,38.510094,1800
G5101670,-82.331703,36.98333,1800
G5101710,-78.499039,38.803257,1800
G5101750,-77.103775,36.719894,1800
G5101770,-77.652489,38.188221,1800
G5101790,-77.460159,38.421288,1800
G5101810,-76.899948,37.109093,1800
G5101830,-77.264412,36.919003,1800
G5101850,-81.571358,37.361935,1800
G5101890,-76.519524,37.105675,1800
G5101910,-81.964752,36.73764,1800
G5101953,-81.332222,39.183872,1800
G5101970,-81.134247,36.949821,1800
G5101990,-76.538559,37.22369,1800
G5107100,-76.289307,36.865417,1800
G5107300,-77.408684,37.222534,1800
G5107600,-77.43644,37.540939,1800
