outcome,spec,sample,se_type,term,year,reference_year,estimate,std.error,statistic,p.value,n_obs,n_cz,controls,label,spec_label
rep_margin,minimal,main_1972_start,cluster_cz,es_1972,1972,1988,1.519058882292982e-4,0.001899214826842415,0.07998352060143346,0.9362725573609071,9386,722,none,Republican margin,Minimal
rep_margin,minimal,main_1972_start,cluster_cz,es_1976,1976,1988,-0.007400979845532615,0.003993782823356857,-1.8531252631588861,0.06427278079440031,9386,722,none,Republican margin,Minimal
rep_margin,minimal,main_1972_start,cluster_cz,es_1980,1980,1988,-0.007258487412649693,0.003848986147637439,-1.8858180139476608,0.05972123188528012,9386,722,none,Republican margin,Minimal
rep_margin,minimal,main_1972_start,cluster_cz,es_1984,1984,1988,-6.26049000881328e-4,0.0013396491094222218,-0.4673231195229452,0.6404099180007625,9386,722,none,Republican margin,Minimal
rep_margin,minimal,main_1972_start,cluster_cz,es_1992,1992,1988,-0.0032778971623334784,0.0012446555847933894,-2.6335776759300074,0.008630174310754631,9386,722,none,Republican margin,Minimal
rep_margin,minimal,main_1972_start,cluster_cz,es_1996,1996,1988,-0.002376031496734472,0.0021597273498407156,-1.1001534508092927,0.27163244608563136,9386,722,none,Republican margin,Minimal
rep_margin,minimal,main_1972_start,cluster_cz,es_2000,2000,1988,-0.0011017709325690794,0.0031463470297653875,-0.35017463812668964,0.7263099102127095,9386,722,none,Republican margin,Minimal
rep_margin,minimal,main_1972_start,cluster_cz,es_2004,2004,1988,-4.988763435663946e-4,0.0034170101871585563,-0.14599790935397808,0.8839638469198247,9386,722,none,Republican margin,Minimal
rep_margin,minimal,main_1972_start,cluster_cz,es_2008,2008,1988,0.0020428182993862884,0.004135444575351497,0.4939779175284091,0.6214722269221162,9386,722,none,Republican margin,Minimal
rep_margin,minimal,main_1972_start,cluster_cz,es_2012,2012,1988,0.0030268253258691653,0.004898273392125605,0.6179371961424298,0.5368118701241302,9386,722,none,Republican margin,Minimal
rep_margin,minimal,main_1972_start,cluster_cz,es_2016,2016,1988,0.00836561815616405,0.0068715770045750905,1.2174233295492765,0.22384148992246639,9386,722,none,Republican margin,Minimal
rep_margin,minimal,main_1972_start,cluster_cz,es_2020,2020,1988,0.00874363043106841,0.006196156013435906,1.4111378751775288,0.15863530946104795,9386,722,none,Republican margin,Minimal
rep_margin,core_controls,main_1972_start,cluster_cz,es_1972,1972,1988,0.0020553770988338427,0.002506470917303892,0.8200283053931173,0.4124709757920455,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican margin,Core controls
rep_margin,core_controls,main_1972_start,cluster_cz,es_1976,1976,1988,-0.005057793494840107,0.0029282153720447965,-1.7272614381872495,0.08454898596874272,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican margin,Core controls
rep_margin,core_controls,main_1972_start,cluster_cz,es_1980,1980,1988,-4.699465611478935e-4,0.002611259264756574,-0.1799693226523421,0.8572272199735543,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican margin,Core controls
rep_margin,core_controls,main_1972_start,cluster_cz,es_1984,1984,1988,3.7369366893233533e-4,0.001135978070372534,0.3289620448480892,0.7422799053837201,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican margin,Core controls
rep_margin,core_controls,main_1972_start,cluster_cz,es_1992,1992,1988,-0.003440552006152969,0.001347022046407822,-2.55419131062337,0.010847957206846264,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican margin,Core controls
rep_margin,core_controls,main_1972_start,cluster_cz,es_1996,1996,1988,-0.0038848967497168768,0.002593751991225419,-1.4977903681074212,0.13462537671828503,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican margin,Core controls
rep_margin,core_controls,main_1972_start,cluster_cz,es_2000,2000,1988,-0.002902151317476909,0.0028737496639010774,-1.009883134196622,0.3128900702595149,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican margin,Core controls
rep_margin,core_controls,main_1972_start,cluster_cz,es_2004,2004,1988,-0.0028693730632068856,0.0024085974596170464,-1.1913045294264737,0.23392607050098033,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican margin,Core controls
rep_margin,core_controls,main_1972_start,cluster_cz,es_2008,2008,1988,9.931789542665442e-4,0.002698896492980952,0.3679944587906631,0.7129853731154996,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican margin,Core controls
rep_margin,core_controls,main_1972_start,cluster_cz,es_2012,2012,1988,0.0010370579698783843,0.002886063765974077,0.3593330064654224,0.7194511961450148,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican margin,Core controls
rep_margin,core_controls,main_1972_start,cluster_cz,es_2016,2016,1988,8.267065907430786e-4,0.0024909569046806476,0.3318831366330146,0.7400739561321892,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican margin,Core controls
rep_margin,core_controls,main_1972_start,cluster_cz,es_2020,2020,1988,2.3568758978951762e-4,0.0026943434214825304,0.0874749625123264,0.9303182747060602,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican margin,Core controls
rep_margin,full_controls,main_1972_start,cluster_cz,es_1972,1972,1988,0.001957128353642623,0.0024186791301095707,0.8091723822638521,0.41868293829151426,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican margin,Full controls
rep_margin,full_controls,main_1972_start,cluster_cz,es_1976,1976,1988,-0.003776665039663644,0.002896956060569629,-1.3036666627663789,0.19276335550718843,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican margin,Full controls
rep_margin,full_controls,main_1972_start,cluster_cz,es_1980,1980,1988,-0.001312699921752548,0.0022554353026529293,-0.582016216651615,0.5607376939203967,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican margin,Full controls
rep_margin,full_controls,main_1972_start,cluster_cz,es_1984,1984,1988,-2.9196230065894023e-4,0.001144890835266521,-0.2550132219295596,0.7987856097566288,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican margin,Full controls
rep_margin,full_controls,main_1972_start,cluster_cz,es_1992,1992,1988,-0.004067893590778882,0.0014104559240276627,-2.884098341168086,0.004042379499561172,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican margin,Full controls
rep_margin,full_controls,main_1972_start,cluster_cz,es_1996,1996,1988,-0.006638350577215728,0.002454432659820351,-2.7046374854307933,0.006999242185204168,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican margin,Full controls
rep_margin,full_controls,main_1972_start,cluster_cz,es_2000,2000,1988,-0.006835744780660761,0.002812167527032203,-2.430774381309639,0.01530940517791452,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican margin,Full controls
rep_margin,full_controls,main_1972_start,cluster_cz,es_2004,2004,1988,-0.005977009250014121,0.002601643428767704,-2.2973975541472242,0.021881699897368323,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican margin,Full controls
rep_margin,full_controls,main_1972_start,cluster_cz,es_2008,2008,1988,-0.0016892689483080855,0.0029663103650566006,-0.5694848955145839,0.5692044940450764,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican margin,Full controls
rep_margin,full_controls,main_1972_start,cluster_cz,es_2012,2012,1988,-0.0017450992245285658,0.0032708800926708284,-0.533525893669679,0.5938340203460508,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican margin,Full controls
rep_margin,full_controls,main_1972_start,cluster_cz,es_2016,2016,1988,-0.001212556298236512,0.0028259262068897483,-0.42908278895614455,0.6679911543395771,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican margin,Full controls
rep_margin,full_controls,main_1972_start,cluster_cz,es_2020,2020,1988,-0.001764224852796932,0.002855481795277551,-0.6178378919153469,0.5368772976705799,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican margin,Full controls
rep_2party_share,minimal,main_1972_start,cluster_cz,es_1972,1972,1988,7.595294411464476e-5,9.496074134212094e-4,0.07998352060142874,0.9362725573609109,9386,722,none,Republican two-party share,Minimal
rep_2party_share,minimal,main_1972_start,cluster_cz,es_1976,1976,1988,-0.0037004899227663125,0.0019968914116784277,-1.8531252631588895,0.06427278079439984,9386,722,none,Republican two-party share,Minimal
rep_2party_share,minimal,main_1972_start,cluster_cz,es_1980,1980,1988,-0.00362924370632485,0.0019244930738187222,-1.88581801394766,0.059721231885280265,9386,722,none,Republican two-party share,Minimal
rep_2party_share,minimal,main_1972_start,cluster_cz,es_1984,1984,1988,-3.1302450044067617e-4,6.698245547111114e-4,-0.46732311952296296,0.6404099180007499,9386,722,none,Republican two-party share,Minimal
rep_2party_share,minimal,main_1972_start,cluster_cz,es_1992,1992,1988,-0.0016389485811667435,6.223277923966994e-4,-2.6335776759299945,0.008630174310754957,9386,722,none,Republican two-party share,Minimal
rep_2party_share,minimal,main_1972_start,cluster_cz,es_1996,1996,1988,-0.001188015748367243,0.001079863674920356,-1.100153450809301,0.27163244608562764,9386,722,none,Republican two-party share,Minimal
rep_2party_share,minimal,main_1972_start,cluster_cz,es_2000,2000,1988,-5.508854662845484e-4,0.001573173514882696,-0.3501746381266947,0.7263099102127059,9386,722,none,Republican two-party share,Minimal
rep_2party_share,minimal,main_1972_start,cluster_cz,es_2004,2004,1988,-2.4943817178320424e-4,0.0017085050935792703,-0.14599790935398282,0.8839638469198209,9386,722,none,Republican two-party share,Minimal
rep_2party_share,minimal,main_1972_start,cluster_cz,es_2008,2008,1988,0.001021409149693132,0.0020677222876757492,0.49397791752840303,0.6214722269221205,9386,722,none,Republican two-party share,Minimal
rep_2party_share,minimal,main_1972_start,cluster_cz,es_2012,2012,1988,0.0015134126629345714,0.0024491366960628013,0.6179371961424256,0.5368118701241329,9386,722,none,Republican two-party share,Minimal
rep_2party_share,minimal,main_1972_start,cluster_cz,es_2016,2016,1988,0.00418280907808201,0.0034357885022875422,1.217423329549273,0.22384148992246777,9386,722,none,Republican two-party share,Minimal
rep_2party_share,minimal,main_1972_start,cluster_cz,es_2020,2020,1988,0.00437181521553419,0.00309807800671796,1.4111378751775203,0.15863530946105045,9386,722,none,Republican two-party share,Minimal
rep_2party_share,core_controls,main_1972_start,cluster_cz,es_1972,1972,1988,0.0010276885494169318,0.0012532354586519505,0.8200283053931227,0.4124709757920425,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican two-party share,Core controls
rep_2party_share,core_controls,main_1972_start,cluster_cz,es_1976,1976,1988,-0.0025288967474200678,0.0014641076860223974,-1.7272614381872602,0.08454898596874078,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican two-party share,Core controls
rep_2party_share,core_controls,main_1972_start,cluster_cz,es_1980,1980,1988,-2.34973280573932e-4,0.0013056296323782862,-0.17996932265233093,0.8572272199735631,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican two-party share,Core controls
rep_2party_share,core_controls,main_1972_start,cluster_cz,es_1984,1984,1988,1.8684683446618068e-4,5.67989035186267e-4,0.3289620448481121,0.742279905383703,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican two-party share,Core controls
rep_2party_share,core_controls,main_1972_start,cluster_cz,es_1992,1992,1988,-0.0017202760030764837,6.735110232039128e-4,-2.5541913106233625,0.010847957206846486,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican two-party share,Core controls
rep_2party_share,core_controls,main_1972_start,cluster_cz,es_1996,1996,1988,-0.0019424483748584289,0.0012968759956127087,-1.4977903681074147,0.13462537671828667,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican two-party share,Core controls
rep_2party_share,core_controls,main_1972_start,cluster_cz,es_2000,2000,1988,-0.0014510756587384514,0.0014368748319505396,-1.0098831341966192,0.31289007025951615,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican two-party share,Core controls
rep_2party_share,core_controls,main_1972_start,cluster_cz,es_2004,2004,1988,-0.0014346865316034211,0.0012042987298085189,-1.1913045294264601,0.23392607050098563,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican two-party share,Core controls
rep_2party_share,core_controls,main_1972_start,cluster_cz,es_2008,2008,1988,4.965894771332868e-4,0.0013494482464904759,0.3679944587906741,0.7129853731154916,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican two-party share,Core controls
rep_2party_share,core_controls,main_1972_start,cluster_cz,es_2012,2012,1988,5.185289849391852e-4,0.0014430318829870392,0.3593330064654174,0.7194511961450186,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican two-party share,Core controls
rep_2party_share,core_controls,main_1972_start,cluster_cz,es_2016,2016,1988,4.1335329537153234e-4,0.001245478452340325,0.3318831366330087,0.7400739561321936,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican two-party share,Core controls
rep_2party_share,core_controls,main_1972_start,cluster_cz,es_2020,2020,1988,1.1784379489479264e-4,0.0013471717107412632,0.08747496251235165,0.9303182747060401,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Republican two-party share,Core controls
rep_2party_share,full_controls,main_1972_start,cluster_cz,es_1972,1972,1988,9.7856417682132e-4,0.0012093395650547888,0.809172382263857,0.41868293829151126,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican two-party share,Full controls
rep_2party_share,full_controls,main_1972_start,cluster_cz,es_1976,1976,1988,-0.0018883325198318273,0.0014484780302848118,-1.3036666627663849,0.19276335550718637,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican two-party share,Full controls
rep_2party_share,full_controls,main_1972_start,cluster_cz,es_1980,1980,1988,-6.56349960876248e-4,0.0011277176513264644,-0.582016216651592,0.5607376939204121,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican two-party share,Full controls
rep_2party_share,full_controls,main_1972_start,cluster_cz,es_1984,1984,1988,-1.459811503294788e-4,5.7244541763326e-4,-0.25501322192957504,0.7987856097566168,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican two-party share,Full controls
rep_2party_share,full_controls,main_1972_start,cluster_cz,es_1992,1992,1988,-0.0020339467953894427,7.052279620138355e-4,-2.884098341168072,0.004042379499561351,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican two-party share,Full controls
rep_2party_share,full_controls,main_1972_start,cluster_cz,es_1996,1996,1988,-0.0033191752886078535,0.0012272163299101755,-2.704637485430785,0.006999242185204351,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican two-party share,Full controls
rep_2party_share,full_controls,main_1972_start,cluster_cz,es_2000,2000,1988,-0.003417872390330365,0.0014060837635161039,-2.430774381309624,0.015309405177915151,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican two-party share,Full controls
rep_2party_share,full_controls,main_1972_start,cluster_cz,es_2004,2004,1988,-0.002988504625007055,0.0013008217143838467,-2.297397554147229,0.021881699897368045,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican two-party share,Full controls
rep_2party_share,full_controls,main_1972_start,cluster_cz,es_2008,2008,1988,-8.446344741540202e-4,0.0014831551825283038,-0.5694848955145674,0.5692044940450876,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican two-party share,Full controls
rep_2party_share,full_controls,main_1972_start,cluster_cz,es_2012,2012,1988,-8.725496122642847e-4,0.0016354400463354176,-0.5335258936696788,0.593834020346051,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican two-party share,Full controls
rep_2party_share,full_controls,main_1972_start,cluster_cz,es_2016,2016,1988,-6.06278149118256e-4,0.0014129631034448765,-0.4290827889561438,0.6679911543395773,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican two-party share,Full controls
rep_2party_share,full_controls,main_1972_start,cluster_cz,es_2020,2020,1988,-8.821124263984487e-4,0.0014277408976387798,-0.6178378919153328,0.5368772976705893,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn; z_l_sh_empl_f; z_l_sh_routine33; z_l_task_outsource,Republican two-party share,Full controls
dem_2party_share,minimal,main_1972_start,cluster_cz,es_1972,1972,1988,-7.595294411463782e-5,9.496074134212072e-4,-0.07998352060142162,0.9362725573609165,9386,722,none,Democratic two-party share,Minimal
dem_2party_share,minimal,main_1972_start,cluster_cz,es_1976,1976,1988,0.0037004899227663134,0.0019968914116784337,1.8531252631588842,0.0642727807944006,9386,722,none,Democratic two-party share,Minimal
dem_2party_share,minimal,main_1972_start,cluster_cz,es_1980,1980,1988,0.0036292437063248544,0.001924493073818726,1.8858180139476584,0.05972123188528044,9386,722,none,Democratic two-party share,Minimal
dem_2party_share,minimal,main_1972_start,cluster_cz,es_1984,1984,1988,3.1302450044068137e-4,6.698245547111125e-4,0.46732311952296995,0.6404099180007448,9386,722,none,Democratic two-party share,Minimal
dem_2party_share,minimal,main_1972_start,cluster_cz,es_1992,1992,1988,0.0016389485811667548,6.223277923966922e-4,2.633577675930043,0.00863017431075373,9386,722,none,Democratic two-party share,Minimal
dem_2party_share,minimal,main_1972_start,cluster_cz,es_1996,1996,1988,0.0011880157483672516,0.0010798636749203515,1.1001534508093136,0.27163244608562215,9386,722,none,Democratic two-party share,Minimal
dem_2party_share,minimal,main_1972_start,cluster_cz,es_2000,2000,1988,5.508854662845519e-4,0.00157317351488269,0.3501746381266982,0.7263099102127033,9386,722,none,Democratic two-party share,Minimal
dem_2party_share,minimal,main_1972_start,cluster_cz,es_2004,2004,1988,2.494381717832112e-4,0.0017085050935792736,0.1459979093539866,0.8839638469198179,9386,722,none,Democratic two-party share,Minimal
dem_2party_share,minimal,main_1972_start,cluster_cz,es_2008,2008,1988,-0.0010214091496931216,0.0020677222876757436,-0.4939779175283993,0.621472226922123,9386,722,none,Democratic two-party share,Minimal
dem_2party_share,minimal,main_1972_start,cluster_cz,es_2012,2012,1988,-0.0015134126629345714,0.002449136696062792,-0.6179371961424279,0.5368118701241313,9386,722,none,Democratic two-party share,Minimal
dem_2party_share,minimal,main_1972_start,cluster_cz,es_2016,2016,1988,-0.004182809078082009,0.0034357885022875383,-1.217423329549274,0.22384148992246736,9386,722,none,Democratic two-party share,Minimal
dem_2party_share,minimal,main_1972_start,cluster_cz,es_2020,2020,1988,-0.004371815215534187,0.003098078006717952,-1.4111378751775232,0.15863530946104953,9386,722,none,Democratic two-party share,Minimal
dem_2party_share,core_controls,main_1972_start,cluster_cz,es_1972,1972,1988,-0.0010276885494169127,0.0012532354586519475,-0.8200283053931093,0.41247097579204994,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Democratic two-party share,Core controls
dem_2party_share,core_controls,main_1972_start,cluster_cz,es_1976,1976,1988,0.002528896747420052,0.0014641076860224032,1.7272614381872426,0.08454898596874393,9386,722,z_l_shind_manuf_cbp; z_l_sh_popedu_c; z_l_sh_popfborn,Democratic two-party share,Core controls
